id,char,codepoint,pinyins,script_type,variants,gloss_en,examples,hsk_level
306,伱,U+4F31,nǐ,neutral,,old variant of 你[ni3],,
307,伲,U+4F32,nǐ|nì,neutral,,variant of 你[ni3],,
308,伳,U+4F33,xiè,neutral,,,,
309,伴,U+4F34,bàn(106)|pàn,neutral,,partner; companion; comrade; associate,伙伴|伴侶|伴侣,4
310,伵,U+4F35,xù,neutral,,,,
311,伶,U+4F36,ling(15),neutral,,(old) actor; actress,伶人|伶仃|伶俐,
312,伷,U+4F37,zhòu,neutral,,,,
313,伸,U+4F38,shēn(307),neutral,,to stretch,伸冤|伸出|伸卡球,5
314,伹,U+4F39,qū|zù,neutral,,clumsy and dumb,,
315,伺,U+4F3A,cì(24)|sì,neutral,,used in 伺候[ci4 hou5],伺候|伺服|伺服器,7-9
316,伻,U+4F3B,bēng,neutral,,to cause,,
317,似,U+4F3C,shì(599)|sì(401),neutral,,used in 似的[shi4 de5],仿似|似乎|似地,3
318,伽,U+4F3D,qié|jiā|gā,neutral,,used in the transliteration of Greek letters,伽倻|伽倻琴|伽利略,
319,伾,U+4F3E,pī,neutral,,multitudinous,王伾,
320,伿,U+4F3F,yì,neutral,,,,
321,佀,U+4F40,sì,neutral,,old variant of 似[si4],,
322,佁,U+4F41,yǐ|ǎi|sì|chì,neutral,,,,
323,佂,U+4F42,zhēng,neutral,,,,
324,佃,U+4F43,diàn(12)|tián,neutral,,to rent farmland from a landlord,佃戶|佃户|佃農,
325,佄,U+4F44,hān|gàn,neutral,,,,
326,佅,U+4F45,mài,neutral,,,,
327,但,U+4F46,dàn(2345)|tǎn|yàn,neutral,,but; yet; however; still,不但|不求有功，但求無過|不求有功，但求无过,2
328,佇,U+4F47,zhù,traditional,伫,to stand for a long time,佇列|佇立,
329,佈,U+4F48,bù,neutral,,variant of 布[bu4],佈伍|佈告|佈告欄,
330,佉,U+4F49,qiā|qū,neutral,,surname Qu,佉盧文|佉卢文|豆佉,
331,佊,U+4F4A,bǐ,neutral,,,,
332,佋,U+4F4B,zhāo|sháo|shào,neutral,,,,
333,佌,U+4F4C,cǐ,neutral,,petty,,
334,位,U+4F4D,wèi(1252)|lì,neutral,,position,C位|一步到位|三位一體,2
335,低,U+4F4E,dī(664),neutral,,low,一見高低|一见高低|不識高低,2
336,住,U+4F4F,zhù(1793),neutral,,to live,不住|不管白貓黑貓，捉住老鼠就是好貓|不管白猫黑猫，捉住老鼠就是好猫,1
337,佐,U+4F50,zuǒ,neutral,,to assist,佐世保|佐丹奴|佐佐木,7-9
338,佑,U+4F51,yòu(11),neutral,,(bound form) to bless; to protect,佑護|佑护|保佑,7-9
339,佒,U+4F52,yǎng|yāng,neutral,,,,
340,体,U+4F53,tǐ(1746)|bèn|cuì,neutral,體,used in 體己|体己[ti1 ji5],21三体综合症|一体|一体两面,1
341,佔,U+4F54,chān|diān|zhàn,neutral,,variant of 占[zhan4],佔上風|佔下風|佔中,
342,何,U+4F55,hé(691),neutral,,surname He,一部二十四史，不知從何說起|一部二十四史，不知从何说起|不知何故,3
343,佖,U+4F56,bì,neutral,,,,
344,佗,U+4F57,tuó|tuō|tuò|yí,neutral,,carry on the back,華佗|华佗|華佗再世,
345,佘,U+4F58,shé,neutral,,surname She,,
346,余,U+4F59,yú(287)|tú|xú,neutral,餘,surname Yu,一览无余|七政四余|不遗余力,4
347,佚,U+4F5A,yì|dié,neutral,,surname Yi,亡佚|佚名|散佚,
348,佛,U+4F5B,fú(252)|bì|bó|fó,neutral,,Buddha; Buddhism (abbr. for 佛陀[Fo2 tuo2]),不看僧面看佛面|不空成就佛|丹佛,6
349,作,U+4F5C,zuò(4832),neutral,,(bound form) worker,一鼓作氣|一鼓作气|上海合作組織,1
350,佝,U+4F5D,kòu|gōu|jū,neutral,,used in 佝僂|佝偻[gou1 lou2],佝僂|佝偻|佝僂病,
351,佞,U+4F5E,nìng,neutral,,to flatter,不佞|奸佞|讒佞,
352,佟,U+4F5F,tóng,neutral,,surname Tong,佟佳江,
353,你,U+4F60,nǐ(10944),neutral,,"you (informal, as opposed to courteous 您[nin2])",人家牽驢你拔橛|人家牵驴你拔橛|什麼風把你吹來的,1
354,佡,U+4F61,xiān,neutral,,"variant of 仙, immortal",,
355,佢,U+4F62,qú,neutral,,"(Cantonese) he, she, it",,
356,佣,U+4F63,yòng|yōng,neutral,傭,commission (for middleman),佣金|佣錢|佣钱,7-9
357,佤,U+4F64,wǎ,neutral,,"Wa, Kawa or Va ethnic group of Myanmar, south China and southeast Asia",佤族|佧佤族|孟連傣族拉祜族佤族自治縣,
358,佥,U+4F65,qiān,simplified,僉,all,,
359,佦,U+4F66,shi,neutral,,,,
360,佧,U+4F67,kǎ,neutral,,ancient name for an ethnic group in China,佧佤族,
361,佨,U+4F68,bāo,neutral,,,,
362,佩,U+4F69,pèi(29),neutral,,to respect,令人欽佩|令人钦佩|佩劍,7-9
363,佪,U+4F6A,huí|huái,neutral,,irresolute,俳佪,
364,佫,U+4F6B,gé|hè,neutral,,surname He,,
365,佬,U+4F6C,liáo|lǎo,neutral,,male,仡佬族|仫佬|仫佬族,
366,佭,U+4F6D,xiáng,neutral,,,,
367,佮,U+4F6E,gé|é,neutral,,,,
368,佯,U+4F6F,yáng,neutral,,to feign,佯狂|佯裝|佯装,
369,佰,U+4F70,bǎi|mò,neutral,,hundred (banker's anti-fraud numeral),八佰伴,
370,佱,U+4F71,fǎ,neutral,,old variant of 法[fa3],,
371,佲,U+4F72,mǐng,neutral,,,,
372,佳,U+4F73,jiā(21),neutral,,surname Jia,上佳|不佳|亂世佳人,6
373,佴,U+4F74,èr|nài,neutral,,assistant,,
374,併,U+4F75,bìng,traditional,并,to combine,一併|中西合併|交併,3
375,佶,U+4F76,jí,neutral,,difficult to pronounce,,
376,佷,U+4F77,hěn|héng,neutral,,to act contrary to,,
377,佸,U+4F78,huó,neutral,,meet,,
378,佹,U+4F79,guǐ|guī,neutral,,(literary) perverse; unreasonable,,
379,佺,U+4F7A,quán,neutral,,immortal,,
380,佻,U+4F7B,tiāo|tiáo|tiào|diǎo|yáo|dào|zhào,neutral,,frivolous,輕佻|轻佻,
381,佼,U+4F7C,jiāo|jiǎo|xiáo,neutral,,handsome,佼佼者,
382,佽,U+4F7D,cì,neutral,,surname Ci,,
383,佾,U+4F7E,yì,neutral,,row of dancers at sacrifices,,
384,使,U+4F7F,shǐ(2283),neutral,,to make,不首先使用|主使|任賢使能,2
385,侀,U+4F80,xíng,neutral,,shape,,
386,侁,U+4F81,shēn,neutral,,large crowd,,
387,侂,U+4F82,tuō,neutral,,(literary) to entrust (variant of 託|托[tuo1]),,
388,侃,U+4F83,kǎn,neutral,,upright and honest,侃侃|侃侃而談|侃侃而谈,7-9
389,侄,U+4F84,zhí,neutral,,variant of 姪|侄[zhi2],堂侄|侄儿|侄女,
390,侅,U+4F85,gāi|hài,neutral,,to give,,
391,來,U+4F86,lái(14549),traditional,来,to come,一來|一來二去|一直以來,1
392,侇,U+4F87,yí,neutral,,(literary) class; category,,
393,侈,U+4F88,chǐ,neutral,,extravagant,侈糜|侈談|侈谈,7-9
394,侉,U+4F89,kuǎ|huá|è|wú,neutral,,foreign accent,侉子,
395,侊,U+4F8A,guāng,neutral,,,,
396,例,U+4F8B,lì(369)|liè,neutral,,example,下不為例|下不为例|事例,2
397,侌,U+4F8C,yīn,neutral,,old variant of 陰|阴[yin1],,
398,侍,U+4F8D,shì(20),neutral,,to serve,伏侍|侍候|侍奉,7-9
399,侎,U+4F8E,mǐ,neutral,,,,
400,侏,U+4F8F,zhū|zhōu,neutral,,dwarf,侏儒|侏儒倉鼠|侏儒仓鼠,
401,侐,U+4F90,xù,neutral,,still,,
402,侑,U+4F91,yòu,neutral,,(literary) to urge sb (to eat or drink),,
403,侒,U+4F92,ān|ǎn,neutral,,,,
404,侓,U+4F93,lù,neutral,,,,
405,侔,U+4F94,móu|máo,neutral,,similar,,
406,侕,U+4F95,ér,neutral,,,,
407,侖,U+4F96,lún|lùn,traditional,仑,to arrange,克侖特羅|加侖|北侖,
408,侗,U+4F97,tōng|tóng|tǒng|dòng,neutral,,Dong ethnic group (aka Kam people),三江侗族自治縣|三江侗族自治县|侗人,
409,侘,U+4F98,chà,neutral,,boast,,
410,侙,U+4F99,chī,neutral,,,,
411,侚,U+4F9A,xùn|xún,neutral,,(literary) quick,,
412,供,U+4F9B,gōng(305)|gòng(11),neutral,,to provide; to supply,上供|串供|供不應求,4
413,侜,U+4F9C,zhōu,neutral,,to conceal,,
414,依,U+4F9D,yī(341),neutral,,to depend on,三歸依|三归依|不依,4
415,侞,U+4F9E,rú,neutral,,,,
416,侟,U+4F9F,cún|jiàn,neutral,,,,
417,侠,U+4FA0,xiá,neutral,俠,knight-errant,三侠五义|任侠|侠士,7-9
418,価,U+4FA1,sì,neutral,,Japanese variant of 價|价,,
419,侢,U+4FA2,dài,neutral,,old variant of 戴[dai4],,
420,侣,U+4FA3,lǚ,simplified,侶,companion,伴侣|伴侣号|僧侣,7-9
421,侤,U+4FA4,ta,neutral,,,,
422,侥,U+4FA5,jiǎo|yáo,simplified,僥,by mere luck,侥幸|侥幸心理|僬侥,
423,侦,U+4FA6,zhēn(51),simplified,偵,to scout,侦察|侦察兵|侦察员,7-9
424,侧,U+4FA7,cè(125)|zè|zhāi,simplified,側,the side,一侧化|二侧|侧刀旁,6
425,侨,U+4FA8,qiáo,simplified,僑,emigrant,侨务|侨务委员会|侨居,7-9
426,侩,U+4FA9,kuài,neutral,儈,broker,市侩|牙侩,
427,侪,U+4FAA,chái,simplified,儕,a class,同侪|同侪团体|同侪压力,
428,侫,U+4FAB,nìng,neutral,,,,
429,侬,U+4FAC,nóng,simplified,儂,you (Wu dialect),卡侬|吴侬娇语|吴侬软语,
430,侭,U+4FAD,jǐn,neutral,,,,
431,侮,U+4FAE,wǔ(32),neutral,,to insult,侮弄|侮慢|侮罵,7-9
432,侯,U+4FAF,hóu|hòu,neutral,,surname Hou,侯景之亂|侯景之乱|侯爵,
433,侰,U+4FB0,jiǒng,neutral,,,,
434,侱,U+4FB1,chěng|tǐng,neutral,,,,
435,侲,U+4FB2,zhèn|zhēn|chēn,neutral,,,,
436,侳,U+4FB3,zuò,neutral,,,,
437,侴,U+4FB4,chǒu,neutral,,surname Chou,,
438,侵,U+4FB5,qīn(341),neutral,,to invade,不可侵犯|不可侵犯權|不可侵犯权,6
439,侶,U+4FB6,lǚ,traditional,侣,companion,伴侶|伴侶號|僧侶,7-9
440,侷,U+4FB7,jú,neutral,,narrow,侷促|侷限,
441,侸,U+4FB8,shù|dōu,neutral,,,,
442,侹,U+4FB9,tǐng,neutral,,(literary) level and straight,,
443,侺,U+4FBA,shèn,neutral,,,,
444,侻,U+4FBB,tuō|tuì,neutral,,,,
445,侼,U+4FBC,bó,neutral,,,,
446,侽,U+4FBD,nán,neutral,,old variant of 男[nan2],,
447,侾,U+4FBE,xiāo,neutral,,,,
448,便,U+4FBF,biàn(1235)|pián(58),neutral,,plain,不便|不便險|不便险,2
449,俀,U+4FC0,tuǐ,neutral,,,,
450,俁,U+4FC1,yǔ,traditional,俣,big,水俁市|水俁病,
451,係,U+4FC2,xì,traditional,系,to connect,三角關係|不正當關係|中俄關係,1
452,促,U+4FC3,cù(140)|chuò,neutral,,(bound form) of short duration; hasty; rapid,中國國際貿易促進委員會|中国国际贸易促进委员会|中國民主促進會,4
453,俄,U+4FC4,é(12),neutral,,Russia,中俄|中俄伊犁條約|中俄伊犁条约,7-9
454,俅,U+4FC5,qiú,neutral,,ornamental cap,,
455,俆,U+4FC6,xú|shū,neutral,,,,
456,俇,U+4FC7,guàng,neutral,,,,
457,俈,U+4FC8,kù,neutral,,,,
458,俉,U+4FC9,wǔ|wú,neutral,,used in 逢俉[feng2 wu2],逢俉,
459,俊,U+4FCA,jùn|shùn|dūn,neutral,,old variant of 俊[jun4],俊俏|俊傑|俊杰,7-9
460,俋,U+4FCB,yì,neutral,,,,
461,俌,U+4FCC,fǔ,neutral,,,,
462,俍,U+4FCD,liáng|lǎng,neutral,,(literary) to be good at; to be expert in,,
463,俎,U+4FCE,zǔ,neutral,,a stand for food at sacrifice,人為刀俎，我為魚肉|人为刀俎，我为鱼肉|刀俎,
464,俏,U+4FCF,qiào|xiào|xiāo,neutral,,good-looking,俊俏|俏皮|俏皮話,7-9
465,俐,U+4FD0,lì,neutral,,used in 伶俐[ling2 li4],伶俐|伶牙俐齒|伶牙俐齿,
466,俑,U+4FD1,yǒng,neutral,,wooden figures buried with the dead,俑坑|兵馬俑|兵马俑,
467,俒,U+4FD2,hùn,neutral,,,,
468,俓,U+4FD3,jìng|yíng,traditional,𠇹,(literary) to pass through,,
469,俔,U+4FD4,qiàn|xiàn,traditional,伣,(old) like,,
470,俕,U+4FD5,sàn,neutral,,,,
471,俖,U+4FD6,pěi,neutral,,,,
472,俗,U+4FD7,sú(51),neutral,,custom,不俗|不落俗套|世俗,4
473,俘,U+4FD8,fú(31),neutral,,to take prisoner,中子俘獲|中子俘获|俘獲,7-9
474,俙,U+4FD9,xī,neutral,,,,
475,俚,U+4FDA,lǐ|lì,neutral,,old name for the 黎[Li2] ethnic group,俚語|俚语|俚諺,
476,俛,U+4FDB,fǔ|miǎn,neutral,,to exhort,,
477,俜,U+4FDC,pīng,neutral,,used in 伶俜[ling2 ping1],伶俜,
478,保,U+4FDD,bǎo(852),neutral,,Bulgaria (abbr. for 保加利亞|保加利亚[Bao3 jia1 li4 ya4]),一類保護動物|一类保护动物|不列顛保衛戰,3
479,俞,U+4FDE,yú|shù,neutral,,surname Yu,俞天白|俞文豹|俞正聲,
480,俟,U+4FDF,sì|qí,neutral,,used in 万俟[Mo4 qi2],万俟|俟候|俟機,
481,俠,U+4FE0,xiá,traditional,侠,knight-errant,三俠五義|任俠|俠士,7-9
482,信,U+4FE1,xìn(1068)|shēn,neutral,,letter,不信任動議|不信任动议|不信任投票,2
483,俢,U+4FE2,xiū,neutral,,,,
484,俣,U+4FE3,yǔ,simplified,俁,big,水俣市|水俣病,
485,俤,U+4FE4,dì,neutral,,variant of 弟[di4],,
486,俥,U+4FE5,chē|jū,traditional,伡,,,
487,俦,U+4FE6,chóu,neutral,儔,comrades,,
488,俧,U+4FE7,zhì,neutral,,,,
489,俨,U+4FE8,yǎn,simplified,儼,majestic,俨如|俨然,
490,俩,U+4FE9,liǎ(196)|liǎng,simplified,倆,two (colloquial equivalent of 兩個|两个),伎俩|俩钱|俩钱儿,4
491,俪,U+4FEA,lì,simplified,儷,husband and wife,伉俪|伉俪情深|俪影,
492,俫,U+4FEB,lái,simplified,倈,,,
493,俬,U+4FEC,sī,neutral,,,,
494,俭,U+4FED,jiǎn(9),simplified,儉,(bound form) frugal; thrifty,俭以养廉|俭学|俭朴,7-9
495,修,U+4FEE,xiū(464),neutral,,surname Xiu,下修|不修邊幅|不修边幅,3
496,俯,U+4FEF,fǔ(22),neutral,,variant of 俯[fu3],俯仰|俯仰之間|俯仰之间,7-9
497,俰,U+4FF0,huò,neutral,,,,
498,俱,U+4FF1,jù(18),neutral,,(literary) all; both; entirely; without exception,一應俱全|一应俱全|五味俱全,5
499,俲,U+4FF2,xiào,neutral,,variant of 傚|效[xiao4],,
500,俳,U+4FF3,pái,neutral,,not serious,俳佪|俳句,
501,俴,U+4FF4,jiàn,neutral,,short,,
502,俵,U+4FF5,biào,neutral,,(literary) to distribute,,
503,俶,U+4FF6,chù|shū|tì,neutral,,to begin,,
504,俷,U+4FF7,fèi,neutral,,(literary) to violate (a moral code),,
505,俸,U+4FF8,fèng|běng,neutral,,(bound form) salary; stipend,乾俸|干俸|俸恤,
506,俹,U+4FF9,yà|yā,neutral,,,,
507,俺,U+4FFA,ǎn(122)|yàn,neutral,,I (northern dialects),,
508,俻,U+4FFB,bèi,neutral,,variant of 備|备[bei4],,
509,俼,U+4FFC,yù,neutral,,,,
510,俽,U+4FFD,xīn,neutral,,,,
511,俾,U+4FFE,bǐ|bì|bēi|pì,neutral,,to cause,俾使|俾倪|俾利,
512,俿,U+4FFF,hǔ|chí,neutral,,,,
513,倀,U+5000,chāng|chéng|zhèng,traditional,伥,(bound form) ghost of sb devoured by a tiger who helps the tiger devour others,倀鬼|為虎作倀,
514,倁,U+5001,zhī,neutral,,,,
515,倂,U+5002,bìng,neutral,,variant of 併|并[bing4],,
516,倃,U+5003,jiù,neutral,,to malign,,
517,倄,U+5004,yáo,neutral,,,,
518,倅,U+5005,cuì|zú,neutral,,auxiliary,,
519,倆,U+5006,liǎ(196)|liǎng,traditional,俩,two (colloquial equivalent of 兩個|两个),伎倆|倆錢|倆錢兒,4
520,倇,U+5007,wǎn,neutral,,,,
521,倈,U+5008,lái|lài|liē,traditional,俫,,,
522,倉,U+5009,cāng(47)|chuàng,traditional,仓,barn,侏儒倉鼠|倉位|倉促,6
523,倊,U+500A,zòng,neutral,,,,
524,個,U+500B,gè(11693)|ge(1891)|gě(18),traditional,个,used in 自個兒|自个儿[zi4 ge3 r5],一個|一個中國政策|一個人,1
525,倌,U+500C,guān,neutral,,keeper of domestic animals,堂倌|新郎倌|看倌,
526,倍,U+500D,bèi(219)|péi,neutral,,"(two, three etc) -fold",三倍|事倍功半|事半功倍,4
527,倎,U+500E,tiǎn,neutral,,,,
528,倏,U+500F,shū,neutral,,sudden,倏地|倏忽|倏然,
529,倐,U+5010,shū,neutral,,variant of 倏[shu1],,
530,們,U+5011,men(14950),traditional,们,"plural marker for pronouns, and nouns referring to individuals",亞們|人們|他們,1
531,倒,U+5012,dào(530)|dǎo(365),neutral,,to fall; to collapse; to lie horizontally,一邊倒|一边倒|一面倒,2
532,倓,U+5013,tán|dàn|tàn,neutral,,quiet,,
533,倔,U+5014,jué|juè,neutral,,used in 倔強|倔强[jue2 jiang4],倔強|倔强|倔頭,7-9
534,倕,U+5015,chuí|zhuì,neutral,,,,
535,倖,U+5016,xìng,neutral,,trusted,倖免|倖存|倖存者,
536,倗,U+5017,péng|pěng|píng,neutral,,,,
537,倘,U+5018,tǎng(45)|cháng,neutral,,used in 倘佯[chang2 yang2],倘佯|倘如|倘或,7-9
538,候,U+5019,hou(2060)|hòu(300),neutral,,to wait,不到火候不揭鍋|不到火候不揭锅|中國餐館症候群,1
539,倚,U+501A,yǐ(34)|jī,neutral,,to lean on,不偏不倚|倚仗|倚天屠龍記,7-9
540,倛,U+501B,qī|qí|qì,neutral,,,,
541,倜,U+501C,tì|diào|zhōu,neutral,,energetic,倜儻|倜傥|風流倜儻,
542,倝,U+501D,gàn,neutral,,dawn (archaic),,
543,倞,U+501E,jìng|liàng,neutral,,strong,,
544,借,U+501F,jiè(204),neutral,藉,to borrow,借一步|借代|借以,2
545,倠,U+5020,suī,neutral,,,,
546,倡,U+5021,chàng(55),neutral,,to initiate,一倡三歎|一倡三叹|倡始,5
547,倢,U+5022,jié|qiè,neutral,,handsome,,
548,倣,U+5023,fǎng,neutral,,variant of 仿[fang3],,
549,値,U+5024,zhí,neutral,,variant of 值[zhi2],,
550,倥,U+5025,kōng|kǒng,neutral,,ignorant,倥侗|倥傯|倥偬,
551,倦,U+5026,juàn(28),neutral,,tired; weary; fatigued,不倦|不知疲倦|亹亹不倦,7-9
552,倧,U+5027,zōng,neutral,,,,
553,倨,U+5028,jù,neutral,,(literary) haughty; arrogant,倨傲|前倨後恭|前倨后恭,
554,倩,U+5029,qiàn|qìng,neutral,,pretty,倩影|倩碧|倩裝,
555,倪,U+502A,ní|nì|niè,neutral,,surname Ni,一窺端倪|一窥端倪|不可端倪,
556,倫,U+502B,lún,traditional,伦,human relationship,不倫|不倫不類|不列顛哥倫比亞,7-9
557,倬,U+502C,zhuō,neutral,,noticeable,,
558,倭,U+502D,wēi|wō|wǒ,neutral,,dwarf,倭人|倭寇|倭瓜,
559,倮,U+502E,luǒ,neutral,,variant of 裸[luo3],,
560,倯,U+502F,sōng,neutral,,,,
561,倰,U+5030,lèng|líng,neutral,,,,
562,倱,U+5031,hùn,neutral,,,,
563,倲,U+5032,dōng|dòng,traditional,㑈,,,
564,倳,U+5033,zì,neutral,,,,
565,倴,U+5034,bèn|bēn,neutral,,,,
566,倵,U+5035,wǔ,neutral,,(used in given names),,
567,倶,U+5036,jù,neutral,,variant of 俱[ju4],,
568,倷,U+5037,nǎi,neutral,,you (dialect),,
569,倸,U+5038,cǎi,neutral,,variant of 睬[cai3],,
570,倹,U+5039,jiǎn,neutral,,Japanese variant of 儉|俭[jian3],,
571,债,U+503A,zhài(36),simplified,債,debt,三角债|中短债|了债,6
572,倻,U+503B,yē,neutral,,"used to represent phonetic ""ya"" in Korean names",伽倻|伽倻琴,
573,值,U+503C,zhí(341),neutral,,value,CP值|一文不值|一錢不值,3
574,倽,U+503D,shà,neutral,,old variant of 啥[sha2],,
575,倾,U+503E,qīng(175),simplified,傾,to overturn,一见倾心|不良倾向|倾佩,6
576,倿,U+503F,nìng,neutral,,,,
577,偀,U+5040,yīng,neutral,,,,
578,偁,U+5041,chēng,neutral,,variant of 稱|称[cheng1],王禹偁|范公偁,
579,偂,U+5042,qián,neutral,,,,
580,偃,U+5043,yǎn,neutral,,surname Yan,偃師|偃师|偃師區,
581,偄,U+5044,ruǎn|rú,neutral,,,,
582,偅,U+5045,zhòng|chōng|tóng,neutral,,,,
583,偆,U+5046,chǔn,neutral,,,,
584,假,U+5047,jiǎ(222)|jià(44)|gé|jie|xiá,neutral,,used in 假掰[gei1 bai1],不假思索|久假不歸|久假不归,1
585,偈,U+5048,jié|qì|jì,neutral,,Buddhist hymn,,
586,偉,U+5049,wěi(575),traditional,伟,big,偉人|偉力|偉哥,3
587,偊,U+504A,yǔ,neutral,,,,
588,偋,U+504B,bìng|bǐng,neutral,,,,
589,偌,U+504C,rè|ruò,neutral,,so,偌大,
590,偍,U+504D,tí,neutral,,,,
591,偎,U+504E,wēi(16),neutral,,to cuddle,依偎|偎傍,
592,偏,U+504F,piān(153),neutral,,to lean,不偏不倚|不偏斜|以偏概全,6
593,偐,U+5050,yàn,neutral,,,,
594,偑,U+5051,fēng,traditional,㐽,,,
595,偒,U+5052,tǎng|dàng,neutral,,,,
596,偓,U+5053,wò,neutral,,constrained,,
597,偔,U+5054,è,neutral,,,,
598,偕,U+5055,xié|jiē,neutral,,in company with,偕同|偕老|白頭偕老,
599,偖,U+5056,chě,neutral,,,,
600,偗,U+5057,shěng,neutral,,,,
601,偘,U+5058,kǎn,neutral,,old variant of 侃[kan3],,
602,偙,U+5059,dì,neutral,,,,
603,做,U+505A,zuò(2166),neutral,,to make; to produce,一不做，二不休|不做聲|不做声,1
604,偛,U+505B,chā,neutral,,,,
605,停,U+505C,tíng(510),neutral,,to stop,不停|停下|停下來,2
606,偝,U+505D,bèi,neutral,,to disobey,,
607,偞,U+505E,xiè|yè|zhá,neutral,,,,
608,偟,U+505F,huáng,neutral,,(literary) free time; leisure,,
609,偠,U+5060,yǎo,neutral,,,,
610,偡,U+5061,zhàn,neutral,,(literary) orderly,,
611,偢,U+5062,qiào|zōu|chǒu,neutral,,to stare at,,
612,偣,U+5063,yān,neutral,,,,
613,偤,U+5064,yóu,neutral,,,,
614,健,U+5065,jiàn(142),neutral,,healthy,亞健康|亚健康|保健,2
615,偦,U+5066,xǔ|xū,neutral,,,,
616,偧,U+5067,zhā,neutral,,,,
617,偨,U+5068,cī,neutral,,uneven,,
618,偩,U+5069,fù,traditional,𰁾,to rely on,,
619,偪,U+506A,bī|fù,neutral,,variant of 逼[bi1],,
620,偫,U+506B,zhì,neutral,,to wait for,,
621,偬,U+506C,zǒng|cōng,neutral,傯,busy,倥偬|戎事倥偬,
622,偭,U+506D,miǎn,neutral,,to transgress,,
623,偮,U+506E,jí,neutral,,,,
624,偯,U+506F,yǐ,neutral,,to sob,,
625,偰,U+5070,xiè,neutral,,contract (variant of 契[qi4]),,
626,偱,U+5071,xún,neutral,,to tell,,
627,偲,U+5072,cāi|sī|sǐ,neutral,,(literary) learned; erudite,偲偲,
628,偳,U+5073,duān,neutral,,,,
629,側,U+5074,cè(125)|zè|zhāi,traditional,侧,the side,一側化|二側|側刀旁,6
630,偵,U+5075,zhēn(51)|zhēng,traditional,侦,to scout,偵察|偵察兵|偵察員,7-9
631,偶,U+5076,ǒu(64),neutral,,accidental,人偶|人偶戲|人偶戏,5
632,偷,U+5077,tōu(204),neutral,,to steal,不偷不搶|不偷不抢|不怕賊偷就怕賊惦記,5
633,偸,U+5078,tōu,neutral,,variant of 偷[tou1],,
634,偹,U+5079,bèi,neutral,,,,
635,偺,U+507A,zá|zan,neutral,,variant of 咱[zan2],,
636,偻,U+507B,lóu|lǚ,neutral,僂,hunchback,佝偻|佝偻病|偻㑩,
637,偼,U+507C,jié,neutral,,,,
638,偽,U+507D,wěi(48)|é|guì,traditional,伪,false,假冒偽劣|偽代碼|偽劣,7-9
